,S2Ctrl_7,WTCtrl_1,S2Ctrl_8,WTCtrl_2,S2Ctrl_9,WTCtrl_3,S2CYTO_10,WTCYTO_4,S2CYTO_11,WTCYTO_5,S2CYTO_12,WTCYTO_6
AC002351.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002366.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002367.1,3,2,0,2,1,0,0,0,0,0,0,0
AC002368.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002375.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002378.1,0,0,0,0,1,0,0,0,0,0,0,0
AC002381.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002383.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002386.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002398.1,55,36,13,56,42,21,11,30,6,12,15,17
AC002398.2,5,4,40,158,18,11,2,0,0,0,17,0
AC002400.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002401.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002401.2,0,0,0,5,0,0,0,0,0,0,0,0
AC002401.3,0,2,0,4,2,0,0,2,0,0,0,0
AC002401.4,5,2,5,18,5,6,2,2,6,4,5,4
AC002407.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002428.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002428.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002429.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002429.2,2,0,0,2,0,2,0,0,0,0,0,0
AC002451.1,0,0,0,2,0,0,0,0,0,0,0,0
AC002451.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002454.1,13,11,29,47,24,20,11,21,4,18,21,7
AC002456.1,34,14,14,55,14,11,10,37,10,12,40,14
AC002456.2,0,0,0,0,0,0,3,0,0,0,0,0
AC002460.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002463.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002464.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002465.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002467.1,84,75,73,220,85,79,125,260,131,170,110,147
AC002470.1,3,1,7,16,4,2,5,9,2,4,0,4
AC002470.2,0,0,0,360,0,0,0,0,0,185,0,4
AC002472.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002472.2,20,28,15,60,68,48,13,32,14,17,11,15
AC002472.3,15,0,0,1,0,0,0,0,0,0,0,0
AC002472.4,0,0,0,0,0,0,0,0,0,0,0,0
AC002480.1,157,170,271,455,164,136,406,1088,380,925,681,599
AC002480.2,11,14,30,58,47,35,76,180,109,163,117,176
AC002486.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002486.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002487.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002504.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002511.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002511.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002511.3,0,0,0,0,0,0,0,0,0,0,0,0
AC002519.1,0,0,0,2,0,0,0,0,0,4,0,0
AC002519.2,7,3,5,10,2,2,2,6,2,2,8,1
AC002524.1,153,110,161,601,128,169,22,48,19,41,32,33
AC002525.1,2,3,0,0,9,11,0,2,0,0,11,3
AC002540.1,0,2,0,0,0,2,0,0,0,0,0,0
AC002542.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002543.1,0,0,0,0,0,0,0,0,0,0,2,0
AC002545.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002546.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002550.1,15,2,9,9,3,9,0,0,1,5,9,0
AC002550.2,3,7,2,6,6,3,0,3,0,2,0,0
AC002551.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002553.1,4,0,0,17,0,5,0,7,0,5,2,3
AC002553.2,2,8,0,2,4,4,0,0,0,0,0,1
AC002558.1,0,0,1,1,0,0,0,0,0,0,0,2
AC002558.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002558.3,2,0,0,1,2,0,2,0,2,0,2,0
AC002563.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002984.1,0,0,0,0,2,0,0,0,0,0,0,0
AC002985.1,117,105,105,265,102,111,74,176,68,88,106,65
AC002996.1,19,14,19,0,0,0,16,22,0,19,0,0
AC003001.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003001.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003002.1,8,7,0,14,4,4,0,7,0,0,0,5
AC003002.2,0,0,0,0,12,0,0,0,0,0,0,0
